Time,PID,Tickets,Pass,Stride,Runtime
693,1,8,28750,1250,1
693,2,8,25000,1250,2
693,5,1,51250,10000,6
693,4,8,43750,1250,3
693,6,2,46250,5000,10
693,7,4,43750,2500,18
693,8,8,43750,1250,35
693,9,16,43750,625,69
693,10,32,43994,312,138
693,11,32,43994,312,138
693,12,32,43994,312,138
693,13,32,43994,312,138
693,14,32,43994,312,138
2651,1,8,28750,1250,1
2651,2,8,25000,1250,2
2651,5,1,151250,10000,16
2651,4,8,146250,1250,4
2651,6,2,146250,5000,30
2651,7,4,146250,2500,59
2651,8,8,146250,1250,117
2651,9,16,146250,625,233
2651,10,32,146330,312,466
2651,11,32,146330,312,466
2651,12,32,146330,312,466
2651,13,32,146330,312,466
2651,14,32,146330,312,466
4784,1,8,28750,1250,1
4784,2,8,25000,1250,2
4784,5,1,261250,10000,27
4784,4,8,257500,1250,6
4784,6,2,261250,5000,53
4784,7,4,258750,2500,104
4784,8,8,257500,1250,206
4784,9,16,257500,625,411
4784,10,32,257714,312,823
4784,11,32,257714,312,823
4784,12,32,257714,312,823
4784,13,32,257714,312,823
4784,14,32,257714,312,823
6767,1,8,28750,1250,1
6767,2,8,25000,1250,2
6767,5,1,371250,10000,38
6767,4,8,361250,1250,8
6767,6,2,361250,5000,73
6767,7,4,361250,2500,145
6767,8,8,361250,1250,289
6767,9,16,361250,625,577
6767,10,32,361298,312,1155
6767,11,32,361298,312,1155
6767,12,32,361298,312,1155
6767,13,32,361298,312,1155
6767,14,32,361298,312,1155
8875,1,8,28750,1250,1
8875,2,8,25000,1250,2
8875,5,1,481250,10000,49
8875,4,8,471250,1250,10
8875,6,2,471250,5000,95
8875,7,4,471250,2500,189
8875,8,8,471250,1250,377
8875,9,16,471250,625,753
8875,10,32,471434,312,1508
8875,11,32,471434,312,1508
8875,12,32,471434,312,1508
8875,13,32,471434,312,1508
8875,14,32,471434,312,1508
10978,1,8,28750,1250,1
10978,2,8,25000,1250,2
10978,5,1,591250,10000,60
10978,4,8,581250,1250,12
10978,6,2,581250,5000,117
10978,7,4,581250,2500,233
10978,8,8,581250,1250,465
10978,9,16,581250,625,929
10978,10,32,581258,312,1860
10978,11,32,581258,312,1860
10978,12,32,581258,312,1860
10978,13,32,581258,312,1860
10978,14,32,581258,312,1860
12967,1,8,28750,1250,1
12967,2,8,25000,1250,2
12967,5,1,691250,10000,70
12967,4,8,685000,1250,14
12967,6,2,686250,5000,138
12967,7,4,686250,2500,275
12967,8,8,685000,1250,548
12967,9,16,685000,625,1095
12967,10,32,685154,312,2193
12967,11,32,685154,312,2193
12967,12,32,685154,312,2193
12967,13,32,685154,312,2193
12967,14,32,685154,312,2193
15075,1,8,28750,1250,1
15075,2,8,25000,1250,2
15075,5,1,801250,10000,81
15075,4,8,795000,1250,16
15075,6,2,796250,5000,160
15075,7,4,796250,2500,319
15075,8,8,795000,1250,636
15075,9,16,795000,625,1271
15075,10,32,795290,312,2546
15075,11,32,795290,312,2546
15075,12,32,795290,312,2546
15075,13,32,795290,312,2546
15075,14,32,795290,312,2546
17178,1,8,28750,1250,1
17178,2,8,25000,1250,2
17178,5,1,911250,10000,92
17178,4,8,905000,1250,18
17178,6,2,906250,5000,182
17178,7,4,906250,2500,363
17178,8,8,905000,1250,724
17178,9,16,905000,625,1447
17178,10,32,905114,312,2898
17178,11,32,905114,312,2898
17178,12,32,905114,312,2898
17178,13,32,905114,312,2898
17178,14,32,905114,312,2898
19166,1,8,28750,1250,1
19166,2,8,25000,1250,2
19166,5,1,1011250,10000,102
19166,4,8,1008750,1250,20
19166,6,2,1011250,5000,203
19166,7,4,1008750,2500,404
19166,8,8,1008750,1250,807
19166,9,16,1008750,625,1613
19166,10,32,1009010,312,3231
19166,11,32,1009010,312,3231
19166,12,32,1009010,312,3231
19166,13,32,1009010,312,3231
19166,14,32,1009010,312,3231
21269,1,8,28750,1250,1
21269,2,8,25000,1250,2
21269,5,1,1121250,10000,113
21269,4,8,1118750,1250,22
21269,6,2,1121250,5000,225
21269,7,4,1118750,2500,448
21269,8,8,1118750,1250,895
21269,9,16,1118750,625,1789
21269,10,32,1118834,312,3583
21269,11,32,1118834,312,3583
21269,12,32,1118834,312,3583
21269,13,32,1118834,312,3583
21269,14,32,1118834,312,3583
23377,1,8,28750,1250,1
23377,2,8,25000,1250,2
23377,5,1,1231250,10000,124
23377,4,8,1228750,1250,24
23377,6,2,1231250,5000,247
23377,7,4,1228750,2500,492
23377,8,8,1228750,1250,983
23377,9,16,1228750,625,1965
23377,10,32,1228970,312,3936
23377,11,32,1228970,312,3936
23377,12,32,1228970,312,3936
23377,13,32,1228970,312,3936
23377,14,32,1228970,312,3936
25362,1,8,28750,1250,1
25362,2,8,25000,1250,2
25362,5,1,1341250,10000,135
25362,4,8,1332500,1250,26
25362,6,2,1336250,5000,268
25362,7,4,1333750,2500,534
25362,8,8,1332500,1250,1066
25362,9,16,1332500,625,2131
25362,10,32,1332554,312,4268
25362,11,32,1332554,312,4268
25362,12,32,1332554,312,4268
25362,13,32,1332554,312,4268
25362,14,32,1332554,312,4268
27494,1,8,28750,1250,1
27494,2,8,25000,1250,2
27494,5,1,1451250,10000,146
27494,4,8,1443750,1250,29
27494,6,2,1446250,5000,290
27494,7,4,1443750,2500,578
27494,8,8,1443750,1250,1155
27494,9,16,1443750,625,2309
27494,10,32,1443938,312,4625
27494,11,32,1443938,312,4625
27494,12,32,1443938,312,4625
27494,13,32,1443938,312,4625
27494,14,32,1443938,312,4625
29597,1,8,28750,1250,1
29597,2,8,25000,1250,2
29597,5,1,1561250,10000,157
29597,4,8,1553750,1250,31
29597,6,2,1556250,5000,312
29597,7,4,1553750,2500,622
29597,8,8,1553750,1250,1243
29597,9,16,1553750,625,2485
29597,10,32,1553762,312,4977
29597,11,32,1553762,312,4977
29597,12,32,1553762,312,4977
29597,13,32,1553762,312,4977
29597,14,32,1553762,312,4977
31586,1,8,28750,1250,1
31586,2,8,25000,1250,2
31586,5,1,1661250,10000,167
31586,4,8,1657500,1250,33
31586,6,2,1661250,5000,333
31586,7,4,1658750,2500,664
31586,8,8,1657500,1250,1326
31586,9,16,1657500,625,2651
31586,10,32,1657658,312,5310
31586,11,32,1657658,312,5310
31586,12,32,1657658,312,5310
31586,13,32,1657658,312,5310
31586,14,32,1657658,312,5310
33694,1,8,28750,1250,1
33694,2,8,25000,1250,2
33694,5,1,1771250,10000,178
33694,4,8,1767500,1250,35
33694,6,2,1771250,5000,355
33694,7,4,1768750,2500,708
33694,8,8,1767500,1250,1414
