Time,PID,Tickets,Pass,Stride,Runtime
171,1,8,30000,1250,2
171,2,8,26250,1250,1
171,6,1,51250,10000,25
171,5,8,47500,1250,7
171,7,2,51250,5000,11
171,8,4,48750,2500,20
171,9,8,47500,1250,38
171,10,16,47500,625,75
171,11,32,47738,312,150
171,12,32,47738,312,150
171,13,32,47738,312,150
171,14,32,47738,312,150
171,15,32,47738,312,150
2154,1,8,30000,1250,2
2154,2,8,26250,1250,1
2154,6,1,161250,10000,36
2154,5,8,151250,1250,9
2154,7,2,151250,5000,31
2154,8,4,151250,2500,61
2154,9,8,151250,1250,121
2154,10,16,151250,625,241
2154,11,32,151322,312,482
2154,12,32,151322,312,482
2154,13,32,151322,312,482
2154,14,32,151322,312,482
2154,15,32,151322,312,482
4287,1,8,30000,1250,2
4287,2,8,26250,1250,1
4287,6,1,271250,10000,47
4287,5,8,262500,1250,11
4287,7,2,266250,5000,54
4287,8,4,263750,2500,106
4287,9,8,262500,1250,210
4287,10,16,262500,625,419
4287,11,32,262706,312,839
4287,12,32,262706,312,839
4287,13,32,262706,312,839
4287,14,32,262706,312,839
4287,15,32,262706,312,839
6269,1,8,30000,1250,2
6269,2,8,26250,1250,1
6269,6,1,371250,10000,57
6269,5,8,366250,1250,13
6269,7,2,366250,5000,74
6269,8,4,366250,2500,147
6269,9,8,366250,1250,293
6269,10,16,366250,625,585
6269,11,32,366290,312,1171
6269,12,32,366290,312,1171
6269,13,32,366290,312,1171
6269,14,32,366290,312,1171
6269,15,32,366290,312,1171
8377,1,8,30000,1250,2
8377,2,8,26250,1250,1
8377,6,1,481250,10000,68
8377,5,8,476250,1250,15
8377,7,2,476250,5000,96
8377,8,4,476250,2500,191
8377,9,8,476250,1250,381
8377,10,16,476250,625,761
8377,11,32,476426,312,1524
8377,12,32,476426,312,1524
8377,13,32,476426,312,1524
8377,14,32,476426,312,1524
8377,15,32,476426,312,1524
10480,1,8,30000,1250,2
10480,2,8,26250,1250,1
10480,6,1,591250,10000,79
10480,5,8,586250,1250,17
10480,7,2,586250,5000,118
10480,8,4,586250,2500,235
10480,9,8,586250,1250,469
10480,10,16,586250,625,937
10480,11,32,586250,312,1876
10480,12,32,586250,312,1876
10480,13,32,586250,312,1876
10480,14,32,586250,312,1876
10480,15,32,586250,312,1876
12469,1,8,30000,1250,2
12469,2,8,26250,1250,1
12469,6,1,691250,10000,89
12469,5,8,690000,1250,19
12469,7,2,691250,5000,139
12469,8,4,691250,2500,277
12469,9,8,690000,1250,552
12469,10,16,690000,625,1103
12469,11,32,690146,312,2209
12469,12,32,690146,312,2209
12469,13,32,690146,312,2209
12469,14,32,690146,312,2209
12469,15,32,690146,312,2209
14577,1,8,30000,1250,2
14577,2,8,26250,1250,1
14577,6,1,801250,10000,100
14577,5,8,800000,1250,21
14577,7,2,801250,5000,161
14577,8,4,801250,2500,321
14577,9,8,800000,1250,640
14577,10,16,800000,625,1279
14577,11,32,800282,312,2562
14577,12,32,800282,312,2562
14577,13,32,800282,312,2562
14577,14,32,800282,312,2562
14577,15,32,800282,312,2562
16680,1,8,30000,1250,2
16680,2,8,26250,1250,1
16680,6,1,911250,10000,111
16680,5,8,910000,1250,23
16680,7,2,911250,5000,183
16680,8,4,911250,2500,365
16680,9,8,910000,1250,728
16680,10,16,910000,625,1455
16680,11,32,910106,312,2914
16680,12,32,910106,312,2914
16680,13,32,910106,312,2914
16680,14,32,910106,312,2914
16680,15,32,910106,312,2914
18669,1,8,30000,1250,2
18669,2,8,26250,1250,1
18669,6,1,1021250,10000,122
18669,5,8,1013750,1250,25
18669,7,2,1016250,5000,204
18669,8,4,1013750,2500,406
18669,9,8,1013750,1250,811
18669,10,16,1013750,625,1621
18669,11,32,1014002,312,3247
18669,12,32,1014002,312,3247
18669,13,32,1014002,312,3247
18669,14,32,1014002,312,3247
18669,15,32,1014002,312,3247
20772,1,8,30000,1250,2
20772,2,8,26250,1250,1
20772,6,1,1131250,10000,133
20772,5,8,1123750,1250,27
20772,7,2,1126250,5000,226
20772,8,4,1123750,2500,450
20772,9,8,1123750,1250,899
20772,10,16,1123750,625,1797
20772,11,32,1123826,312,3599
20772,12,32,1123826,312,3599
20772,13,32,1123826,312,3599
20772,14,32,1123826,312,3599
20772,15,32,1123826,312,3599
22880,1,8,30000,1250,2
22880,2,8,26250,1250,1
22880,6,1,1241250,10000,144
22880,5,8,1233750,1250,29
22880,7,2,1236250,5000,248
22880,8,4,1233750,2500,494
22880,9,8,1233750,1250,987
22880,10,16,1233750,625,1973
22880,11,32,1233962,312,3952
22880,12,32,1233962,312,3952
22880,13,32,1233962,312,3952
22880,14,32,1233962,312,3952
22880,15,32,1233962,312,3952
24864,1,8,30000,1250,2
24864,2,8,26250,1250,1
24864,6,1,1341250,10000,154
24864,5,8,1337500,1250,31
24864,7,2,1341250,5000,269
24864,8,4,1338750,2500,536
24864,9,8,1337500,1250,1070
24864,10,16,1337500,625,2139
24864,11,32,1337546,312,4284
24864,12,32,1337546,312,4284
24864,13,32,1337546,312,4284
24864,14,32,1337546,312,4284
24864,15,32,1337546,312,4284
26972,1,8,30000,1250,2
26972,2,8,26250,1250,1
26972,6,1,1451250,10000,165
26972,5,8,1447500,1250,33
26972,7,2,1451250,5000,291
26972,8,4,1448750,2500,580
26972,9,8,1447500,1250,1158
26972,10,16,1447500,625,2315
26972,11,32,1447682,312,4637
26972,12,32,1447682,312,4637
26972,13,32,1447682,312,4637
26972,14,32,1447682,312,4637
26972,15,32,1447682,312,4637
29027,1,8,30000,1250,2
29027,2,8,26250,1250,1
29027,6,1,1561250,10000,176
29027,5,8,1555000,1250,35
29027,7,2,1556250,5000,312
29027,8,4,1556250,2500,623
29027,9,8,1555000,1250,1244
29027,10,16,1555000,625,2487
29027,11,32,1555010,312,4981
29027,12,32,1555010,312,4981
29027,13,32,1555010,312,4981
29027,14,32,1555010,312,4981
29027,15,32,1555010,312,4981
31135,1,8,30000,1250,2
31135,2,8,26250,1250,1
31135,6,1,1671250,10000,187
31135,5,8,1665000,1250,37
31135,7,2,1666250,5000,334
31135,8,4,1666250,2500,667
31135,9,8,1665000,1250,1332
31135,10,16,1665000,625,2663
31135,11,32,1665146,312,5334
31135,12,32,1665146,312,5334
31135,13,32,1665146,312,5334
31135,14,32,1665146,312,5334
31135,15,32,1665146,312,5334
33123,1,8,30000,1250,2
33123,2,8,26250,1250,1
33123,6,1,1771250,10000,197
33123,5,8,1768750,1250,39
33123,7,2,1771250,5000,355
33123,8,4,1768750,2500,708
33123,9,8,1768750,1250,1415
33123,10,16,1768750,625,2829
33123,11,32,1769042,312,5667
33123,12,32,1769042,312,5667
33123,13,32,1769042,312,5667
33123,14,32,1769042,312,5667
33123,15,32,1769042,312,5667
35226,1,8,30000,1250,2
35226,2,8,26250,1250,1
35226,6,1,1881250,10000,208
35226,5,8,1878750,1250,41
35226,7,2,1881250,5000,377
35226,8,4,1878750,2500,752
35226,9,8,1878750,1250,1503
35226,10,16,1878750,625,3005
35226,11,32,1878866,312,6019
35226,12,32,1878866,312,6019
35226,13,32,1878866,312,6019
35226,14,32,1878866,312,6019
35226,15,32,1878866,312,6019
37430,1,8,30000,1250,2
37430,2,8,26250,1250,1
37430,6,1,2001250,10000,220
37430,5,8,1993750,1250,43
37430,7,2,1996250,5000,400
37430,8,4,1993750,2500,798
37430,9,8,1993750,1250,1595
37430,10,16,1993750,625,3189
37430,11,32,1993994,312,6388
37430,12,32,1993994,312,6388
37430,13,32,1993994,312,6388
37430,14,32,1993994,312,6388
37430,15,32,1993994,312,6388
39414,1,8,30000,1250,2
39414,2,8,26250,1250,1
39414,6,1,2101250,10000,230
39414,5,8,2097500,1250,45
39414,7,2,2101250,5000,421
39414,8,4,2098750,2500,840
39414,9,8,2097500,1250,1678
39414,10,16,2097500,625,3355
39414,11,32,2097578,312,6720
39414,12,32,2097578,312,6720
39414,13,32,2097578,312,6720
39414,14,32,2097578,312,6720
39414,15,32,2097578,312,6720
58012,1,8,30000,1250,2
58012,2,8,26250,1250,1
58012,6,1,2221250,10000,242
58012,5,8,2212500,1250,49
58012,7,2,2216250,5000,444
58012,8,4,2213750,2500,886
58012,9,8,2212500,1250,1770
58012,10,16,2212500,625,3539
58012,11,32,2212706,312,7089
58012,12,32,2212706,312,7089
58012,13,32,2212706,312,7089
58012,14,32,2212706,312,7089
58012,15,32,2212706,312,7089
58012,16,32,2212706,312,7089
58012,17,32,2212706,312,7089
58012,18,8,2212500,1250,1770
58012,19,2,2216250,5000,444
58012,20,8,0,1250,0
58012,21,8,0,1250,0
65970,1,8,30000,1250,2
65970,2,8,35000,1250,2
65970,6,1,2371250,10000,257
65970,5,8,2368750,1250,51
65970,7,2,2371250,5000,475
65970,8,4,2368750,2500,948
65970,9,8,2368750,1250,1895
65970,10,16,2368750,625,3789
65970,11,32,2369018,312,7590
65970,12,32,2369018,312,7590
65970,13,32,2369018,312,7590
65970,14,32,2369018,312,7590
65970,15,32,2369018,312,7590
65970,16,32,2369018,312,7590
65970,17,32,2369018,312,7590
65970,18,8,2368750,1250,1895
65970,19,2,2371250,5000,475
65970,20,8,2368750,1250,1895
65970,21,8,2368750,1250,1895
70363,1,8,30000,1250,2
70363,2,8,35000,1250,2
70363,6,1,2531250,10000,273
70363,5,8,2525000,1250,53
70363,7,2,2526250,5000,506
70363,8,4,2526250,2500,1011
70363,9,8,2525000,1250,2020
70363,10,16,2525000,625,4039
70363,11,32,2525018,312,8090
70363,12,32,2525018,312,8090
70363,13,32,2525018,312,8090
70363,14,32,2525018,312,8090
70363,15,32,2525018,312,8090
70363,16,32,2525018,312,8090
70363,17,32,2525018,312,8090
70363,18,8,2525000,1250,2020
70363,19,2,2526250,5000,506
70363,20,8,2525000,1250,2020
70363,21,8,2525000,1250,2020
74762,1,8,30000,1250,2
74762,2,8,35000,1250,2
74762,6,1,2691250,10000,289
74762,5,8,2681250,1250,55
74762,7,2,2681250,5000,537
74762,8,4,2681250,2500,1073
74762,9,8,2681250,1250,2145
74762,10,16,2681250,625,4289
74762,11,32,2681330,312,8591
74762,12,32,2681330,312,8591
74762,13,32,2681330,312,8591
74762,14,32,2681330,312,8591
74762,15,32,2681330,312,8591
74762,16,32,2681330,312,8591
74762,17,32,2681330,312,8591
74762,18,8,2681250,1250,2145
74762,19,2,2681250,5000,537
74762,20,8,2681250,1250,2145
74762,21,8,2681250,1250,2145
79163,1,8,30000,1250,2
79163,2,8,35000,1250,2
79163,6,1,2841250,10000,304
79163,5,8,2837500,1250,57
79163,7,2,2841250,5000,569
79163,8,4,2838750,2500,1136
79163,9,8,2837500,1250,2270
79163,10,16,2837500,625,4539
79163,11,32,2837642,312,9092
79163,12,32,2837642,312,9092
79163,13,32,2837642,312,9092
79163,14,32,2837642,312,9092
79163,15,32,2837642,312,9092
79163,16,32,2837642,312,9092
79163,17,32,2837642,312,9092
79163,18,8,2837500,1250,2270
79163,19,2,2841250,5000,569
79163,20,8,2837500,1250,2270
79163,21,8,2837500,1250,2270
83562,1,8,30000,1250,2
83562,2,8,35000,1250,2
83562,6,1,3001250,10000,320
83562,5,8,2993750,1250,59
83562,7,2,2996250,5000,600
83562,8,4,2993750,2500,1198
83562,9,8,2993750,1250,2395
83562,10,16,2993750,625,4789
83562,11,32,2993954,312,9593
83562,12,32,2993954,312,9593
83562,13,32,2993954,312,9593
83562,14,32,2993954,312,9593
83562,15,32,2993954,312,9593
83562,16,32,2993954,312,9593
83562,17,32,2993954,312,9593
83562,18,8,2993750,1250,2395
83562,19,2,2996250,5000,600
83562,20,8,2993750,1250,2395
83562,21,8,2993750,1250,2395
